section,code,parent_code,question,description,rationale,source_page,status
Environment,ENV_001,ENV_001,Are there significant changes in elevation across the site?,"Refers to the degree of incline or elevation change across the site, indicating how quickly the terrain rises or falls.","Slopes can accelerate fire spread, making containment challenging.",3,Extracted from form
Environment,ENV_002,ENV_002,"Taking an average across the site, what are the shelters predominantly made of?",Primary construction / combustibility type of shelters across the site.,Shelter material strongly affects ignition potential and fire spread.,3,Question extracted; description summarized from response labels
Environment,ENV_003a,ENV_003,How many people live in the site?,Site population.,"Along with the site area, this is used to measure site density.",3,Extracted from form
Environment,ENV_003b,ENV_003,What is the estimated area of the site (in metres squared)?,Estimated total site area in square metres.,"Along with the site population, this is used to measure site density.",3,Extracted from form
Environment,ENV_004,ENV_004,Which of the following best describe the fire breaks in the site?,Refers to the effectiveness of designated areas or barriers within displacement sites that are intended to impede the spread of fires.,Fire breaks play a crucial role in preventing the rapid spread of fires within displacement sites by creating physical barriers that can help contain and control fire incidents.,4,Extracted from form
Fuel,FUEL_001,FUEL_001,Which of the following organic materials are stored in bulk at household level?,Predominant organic fuel size / class stored in bulk at household level.,"Along with the area of the site, this question is used to measure site density / fuel exposure.",4,Extracted from form
Fuel,FUEL_002a,FUEL_002,What types of hazardous liquids are stored within the site?,"Assesses the presence, storage conditions, and management practices of liquid chemicals within the displacement site, considering factors such as spillage risks, storage containers, and proximity to ignition sources.","Fires involving liquids exhibit different properties from fires involving organic solids and require different extinguishing media and skills to fight, especially at close quarters.",4,Extracted from form
Fuel,FUEL_002b,FUEL_002,How would you rate the storage of hazardous liquids?,Storage quality / controls for hazardous liquids.,Poor storage conditions increase likelihood and severity of liquid-fuel fires.,5,Extracted from form
Fuel,FUEL_003a,FUEL_003,Is there a centralised storage of flammable materials on site?,"Evaluates the presence, storage conditions, and management practices of chemical compounds / flammable materials, considering toxicity, reactivity, and potential ignition sources.","Chemical fires can produce explosion risks as well as toxic gases, so they should be treated differently to conventional fires.",5,Extracted from form
Fuel,FUEL_003b,FUEL_003,How would you rate the storage of the materials?,Storage quality / controls for centralised flammable material storage.,Poor storage practices can significantly increase fire and explosion risk.,5,Extracted from form
Behavioural Factors,BEH_001a,BEH_001,What cooking practices are commonly used?,Assesses the safety and appropriateness of cooking practices and their adherence to safety standards.,"Inadequate cooking practices, such as leaving open flames unattended or cooking in poorly ventilated areas, can increase the risk of fire incidents within displacement sites. Cooking is treated as an ignition event.",6,Extracted from form
Behavioural Factors,BEH_001b,BEH_001,Which of the following cooking behaviours are commonly observed in the site?,Observed risky cooking behaviours across the site.,Unregulated ignition events created by poor cooking behaviours increase the chance that a small fire grows into a larger one.,6,Extracted from form
Behavioural Factors,BEH_002,BEH_002,Which of the following cooking behaviours are commonly observed in the site?,"Evaluates the reliability and safety of heating sources used, assessing the extent to which heating sources can be depended upon to provide warmth without increasing fire risk.",Using a heater is treated as an ignition event; unregulated ignition events that create open fires are at greater risk of growing into larger fires.,6,Question text in form appears mismatched; description indicates heating-source question
Behavioural Factors,BEH_003,BEH_003,What is the most common means of waste disposal?,"Assesses the effectiveness of solid waste management practices within the displacement site, including the collection, disposal, and treatment of solid waste materials.","Burning solid waste for disposal is common; unregulated small fires can easily spread through fire branding if weather conditions are right, and multiple ignition events increase risk.",7,Extracted from form
